FOODID;FOODNAME_y;CA;CAROTENS;FE;FIBC;FOL;JODI;K;MG;NIAEQ;P;RIBF;SE;THIA;VITA;VITB12;VITC;VITD;VITE;VITK;VITPYRID;ZN;Calsium;Carotenoids;Iron;Fiber;Folate;Iodine;Kalium;Magnesium;Niacin;Phosphorus;Riboflavin;Selenium;Thiamin;Vitamin A;Vitamin B12;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Vitamin B6;Zinc
440;LINGONBERRY, COWBERRY;22;31,3;0,4;2,6;19,6;1;80;9;0,634;17;0,005;0,1;0,063;0,76;0;10,7;0;1,53;9;0,01;0,2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
441;CRANBERRY;9,7;50;0,11;3,5;2;1;69;5,8;0,234;7,5;0,07;10;0,05;1,79;0;20,1;0;0,94;9;0,06;0,1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
442;BLUEBERRY, BILBERRY;19;310,5;0,6;3,3;11,2;1;110;9;0,567;20;0,014;0,1;0,133;3,92;0;7,16;0;1,85;9;0,06;0,15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
444;BLACKCURRANT;72;542,2;1,2;5,8;14,2;1;340;24;0,517;58;0,017;0,1;0,042;8,2;0;128;0;2,23;30;0,08;0,31;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
445;REDCURRANT;40;71,5;0,79;5;12;1;310;14;0,55;47;0,07;0,1;0,05;2,05;0;30;0;0,82;11;0,04;0,2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
446;GOOSEBERRY;29;263,5;0,4;3,4;8;1;200;10;0,45;25;0,07;0,1;0,05;7,287;0;30;0;0,73;15;0,02;0,1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
447;STRAWBERRY;21;44,5;0,5;1,9;29,9;1;190;15;0,717;30;0,023;0,102;0,034;0,95;0;45,6;0;0,56;5,5;0,06;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
448;RASPBERRY;35;95,9;1,1;3,7;37,7;1;220;25;0,717;37;0,024;0,1;0,029;1,09;0;20,5;0;0,88;10,2;0,09;0,4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
449;CLOUDBERRY;16;240,9;0,7;6,3;37,9;1;170;29;0,801;36;0,023;0,1;0,072;14,43;0;61,6;0;2,95;9;0,09;0,6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
455;SEA BUCKTHORN BERRY;4,6;860;0,14;3,6;10;0;160;4,7;0,26;20;0,07;10;0,18;71,38;0;140;0;3,05;13,5;0,13;0,13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
457;ROWANBERRY, SORBUS;53;105;0,53;6,5;10;1;260;26;0,634;38;0,005;10;0,063;8,134;0;59,7;0;0,489;9;0,07;0,19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
477;MUSKMELON/CANTALOUPE MELON;20;105;0,3;0,9;5;4;210;11;0,633;13;0,02;0,4;0,04;3,69;0;26;0;0,05;1;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11007;ROSE HIP;130;6300;0,33;8,3;52;1;360;29;0,533;46;0,07;10;0,06;522,9;0;601;0;7,1;25,9;0,05;0,33;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0
11045;ORANGE;54;166,8;0,17;2,1;26,47;0,5;150;13;0,534;23;0,035;0,05;0,085;7,38;0;51;0;0,36;0,1;0,09;0,11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11046;MANDARIN;37;484,4;0,2;1,9;21;1;150;13;0,534;16;0,04;0,05;0,08;20,84;0;41;0;0,32;0,1;0,09;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11047;GRAPEFRUIT;33;23,1;0,1;1,4;26;1;160;11;0,386;20;0,035;0,1;0,05;0,66;0;33;0;0,32;0,02;0,04;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
