FOODID,FOODNAME_y,FOODTYPE,PROCESS,EDPORT,IGCLASS,IGCLASSP,CA,CAROTENS,FE,FIBC,FOL,ID,K,MG,NACL,NATRIUM,NIA,NIAEQ,P,RIBF,SE,THIA,VITA,VITB12,VITC,VITD,VITE,VITK,VITPYRID,ZN
209,POTATOFLAKE,FOOD,DRIE,100,POTAPROD,POTATOT,11.0,43.0,1.9,6.5,58.0,0.0,1280.0,80.0,73.89,29.0,4.2,5.786,172.0,0.13,6.7,0.17,0.498,0.0,31.0,0.0,0.03,8.7,0.748,1.29
300,CARROT,FOOD,RAW,100,ROOT,VEGTOT,29.0,11326.1,0.5,2.55,16.38,1.0,390.0,14.0,63.7,25.0,0.8,0.917,40.0,0.07,0.197,0.07,774.12,0.0,6.5,0.0,0.36,19.0,0.03,0.4
302,"CARROT, DRIED",FOOD,DRIE,100,ROOT,VEGTOT,145.0,94384.2,2.5,20.7,136.5,8.33,1950.0,70.0,682.86,268.0,6.667,7.641,200.0,0.28,1.642,0.28,6450.967,0.0,11.0,0.0,3.0,158.333,0.25,2.0
303,"SWEDE, RUTABAGA",FOOD,RAW,100,ROOT,VEGTOT,42.0,35.0,0.22,2.9,50.08,1.0,350.0,12.0,18.6,7.3,1.2,1.434,41.0,0.06,10.0,0.06,0.124,0.0,45.6,0.0,0.0,2.0,0.12,0.15
304,TURNIP,FOOD,RAW,100,ROOT,VEGTOT,33.0,71.8,0.15,2.7,14.0,1.0,180.0,17.0,45.86,18.0,1.2,1.4,34.0,0.06,10.0,0.06,5.96,0.0,22.9,0.0,0.0,2.0,0.08,0.16
305,"BEETROOT, RED BEET",FOOD,RAW,100,ROOT,VEGTOT,11.0,11.4,0.25,2.5,150.0,1.0,320.0,15.0,45.86,18.0,0.2,0.35,32.0,0.05,10.0,0.03,0.58,0.0,3.03,0.0,0.05,3.0,0.05,0.26
307,"BEETROOT, PICKLED",FOOD,CANN,100,VEGCANN,VEGTOT,16.0,4.4,0.73,1.8,35.59,1.0,160.0,13.0,305.76,120.0,0.2,0.35,19.0,0.05,0.4,0.02,0.0,0.0,6.0,0.0,0.06,1.2,0.05,0.31
308,RADISH,FOOD,RAW,100,ROOT,VEGTOT,16.0,21.4,0.17,1.1,38.0,1.0,340.0,8.9,35.67,14.0,0.2,0.35,19.0,0.04,10.0,0.04,0.78,0.0,15.1,0.0,0.0,0.4,0.06,0.12
309,PARSNIP,FOOD,RAW,100,ROOT,VEGTOT,31.0,20.0,0.39,5.7,87.0,1.0,480.0,28.0,3.57,1.4,0.7,1.051,58.0,0.09,10.0,0.13,1.66,0.0,15.2,0.0,0.82,,0.13,0.33
310,JERUSALEM ARTICHOKE,FOOD,RAW,100,ROOT,VEGTOT,23.0,8.0,0.2,16.4,13.0,0.0,630.0,13.0,12.49,4.9,1.3,1.534,60.0,0.05,10.0,0.2,0.664,0.0,4.68,0.0,0.35,0.1,0.11,0.24
311,"CELERIAC, TURNIP-ROOTED CELERY, KNOB CELERY, CELERY ROOT",FOOD,RAW,100,ROOT,VEGTOT,36.0,0.0,0.29,2.9,51.0,2.0,390.0,8.5,137.59,54.0,0.7,0.95,58.0,0.1,10.0,0.1,0.0,0.0,3.25,0.0,0.5,41.0,0.2,0.26
312,BLACK SALSIFY,FOOD,RAW,100,ROOT,VEGTOT,53.0,20.0,3.3,7.3,31.0,0.0,320.0,23.0,12.74,5.0,0.4,0.4,76.0,0.04,10.0,0.11,1.66,0.0,4.0,0.0,0.8,,0.08,0.0
320,WHITE CABBAGE,FOOD,RAW,100,CABBAGE,VEGTOT,38.0,218.0,0.2,2.5,29.94,1.0,240.0,10.0,13.25,5.2,0.4,0.751,27.0,0.05,10.0,0.07,5.46,0.0,36.8,0.0,0.04,60.0,0.16,0.11
321,RED CABBAGE,FOOD,RAW,100,CABBAGE,VEGTOT,32.0,41.1,0.24,2.5,39.0,1.0,270.0,11.0,9.43,3.7,0.4,0.584,31.0,0.05,10.0,0.13,1.26,0.0,48.3,0.0,0.05,42.0,0.15,0.14
322,CAULIFLOWER,FOOD,RAW,100,CABBAGE,VEGTOT,28.0,44.0,0.49,2.2,85.88,1.0,330.0,16.0,8.66,3.4,0.6,1.184,44.0,0.058,10.0,0.1,0.93,0.0,51.8,0.0,0.09,20.0,0.15,0.25
324,BROCCOLI,FOOD,RAW,100,CABBAGE,VEGTOT,30.0,2858.2,0.69,3.5,113.05,1.0,390.0,20.0,33.12,13.0,0.9,1.451,81.0,0.2,10.0,0.1,85.95,0.0,65.1,0.0,0.68,110.0,0.11,0.54
326,KALE,FOOD,RAW,100,CABBAGE,VEGTOT,240.0,41700.0,0.73,6.7,120.0,1.0,470.0,30.0,10.45,4.1,1.0,1.0,52.0,0.35,10.0,0.12,765.76,0.0,65.8,0.0,5.4,618.0,0.35,0.26
327,BRUSSELS SPROUT,FOOD,RAW,100,CABBAGE,VEGTOT,26.0,1353.7,0.38,4.4,93.58,1.0,520.0,24.0,35.67,14.0,0.7,0.7,66.0,0.16,10.0,0.11,35.81,0.0,108.0,0.0,0.4,220.0,0.28,0.27
329,KOHLRABI,FOOD,RAW,100,CABBAGE,VEGTOT,18.0,24.0,0.13,1.9,82.0,1.0,330.0,18.0,50.96,20.0,0.4,0.4,38.0,0.06,10.0,0.06,1.992,0.0,52.1,0.0,0.48,,0.15,0.15
330,LETTUCE,FOOD,RAW,100,VEGLEAF,VEGTOT,56.0,2734.5,0.7,1.0,51.25,1.0,360.0,21.0,58.6,23.0,0.4,0.567,40.0,0.07,0.2,0.06,81.63,0.0,4.5,0.0,0.63,115.0,0.06,0.5
331,ICEBERG LETTUCE,FOOD,RAW,100,VEGLEAF,VEGTOT,56.0,329.1,0.7,1.2,53.0,1.0,360.0,21.0,53.51,21.0,0.4,0.567,40.0,0.08,0.2,0.04,6.15,0.0,7.0,0.0,0.63,40.0,0.05,0.5
333,PARSLEY,FOOD,RAW,100,VEGLEAF,VEGTOT,135.0,15896.8,2.9,8.0,170.0,6.0,770.0,44.0,86.63,34.0,1.7,2.635,70.0,0.3,0.2,0.05,468.72,0.0,200.0,0.0,3.58,,0.11,1.5
334,"NETTLE, STINGING NETTLE",FOOD,RAW,100,VEGLEAF,VEGTOT,430.0,5442.0,3.5,6.6,194.0,1.0,660.0,87.0,3.06,1.2,0.8,1.401,140.0,0.15,10.0,0.2,100.181,0.0,64.4,0.0,1.64,270.0,0.27,1.5
335,ONION,FOOD,RAW,100,VEGONI,VEGTOT,33.0,23.1,0.5,1.7,13.5,1.0,220.0,11.0,9.43,3.7,0.116,0.4,40.0,0.02,0.5,0.03,0.57,0.0,10.2,0.0,0.04,0.7,0.13,0.4
336,"ONION, DRIED",FOOD,DRIE,100,VEGONI,VEGTOT,216.0,165.0,3.27,35.0,166.0,0.0,1440.0,72.0,170.46,66.9,0.829,2.9,262.0,0.15,3.571,0.23,4.091,0.0,40.0,0.0,0.286,5.0,1.94,2.618
337,LEEK,FOOD,RAW,100,VEGONI,VEGTOT,32.0,2935.4,0.6,2.1,56.0,1.0,320.0,15.0,16.56,6.5,0.6,0.901,50.0,0.02,0.4,0.15,83.37,0.0,25.0,0.0,0.34,54.0,0.25,0.4
338,RHUBARB,FOOD,RAW,100,VEGLEAF,VEGTOT,75.0,235.0,0.1,1.4,7.0,1.0,320.0,9.0,3.06,1.2,0.3,0.484,17.0,0.03,0.2,0.01,5.05,0.0,5.0,0.0,0.25,4.0,0.04,0.2
339,CELERY,FOOD,RAW,100,VEGLEAF,VEGTOT,45.0,10096.0,0.29,1.0,16.0,0.0,150.0,15.0,272.38,106.9,0.5,0.684,37.0,0.04,0.4,0.03,243.49,0.0,6.0,0.0,0.27,12.0,0.09,0.18
340,"ASPARAGUS, CANNED",FOOD,CANN,100,VEGCANN,VEGTOT,14.0,32.0,0.3,1.5,96.0,4.0,130.0,9.0,1146.6,450.0,0.954,1.305,30.0,0.17,1.0,0.16,2.656,0.0,33.0,0.0,0.3,,0.17,0.4
342,"MUSHROOM, BOLETUS, RUSSULA",FOOD,RAW,100,MUSHRO,VEGTOT,5.0,0.0,2.7,1.9,25.5,1.0,340.0,9.0,7.13,2.8,5.2,7.229,72.0,0.4,14.1,0.1,0.0,0.0,5.0,4.36,0.0,0.02,0.22,0.65
343,"MUSHROOM, MILK CAPS, SALTED",FOOD,SALT,100,MUSHRO,VEGTOT,5.0,0.0,2.7,1.5,21.0,3.0,340.0,9.0,2504.68,983.0,5.28,5.714,72.0,0.4,36.0,0.1,0.0,0.0,2.0,5.28,0.0,0.288,0.22,0.66
